award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
1954,Physiology or Medicine,1/3,181647,2640218,not specified,357,Thomas H. Weller,male,1915-06-15,North America,USA,2008-08-23,Individual
2011,Economic Sciences,1/2,10000000,10545557,2011-10-10,872,Thomas J. Sargent,male,1943-07-19,North America,USA,not dead or organization,Individual
1929,Literature,1,172760,4907955,not specified,602,Thomas Mann,male,1875-06-06,Europe,Germany,1955-08-12,Individual
1989,Chemistry,1/2,3000000,5242311,1989-10-12,274,Thomas R. Cech,male,1947-12-08,North America,USA,not dead or organization,Individual
2001,Physiology or Medicine,1/3,10000000,12295082,2001-10-08,736,Tim Hunt,male,1943-02-19,Europe,United Kingdom,not dead or organization,Individual
1975,Economic Sciences,1/2,630000,3404179,1975-10-14,687,Tjalling C. Koopmans,male,1910-08-28,Europe,the Netherlands,1985-02-26,Individual
1911,Peace,1/2,140695,7327865,1911-12-10,478,Tobias Asser,male,1838-04-28,Europe,the Netherlands,1913-07-29,Individual
2015,Chemistry,1/3,8000000,8384572,2015-10-07,921,Tomas Lindahl,male,1938-01-28,Europe,Sweden,not dead or organization,Individual
2011,Literature,1,10000000,10545557,2011-10-06,868,Tomas Tranströmer,male,1931-04-15,Europe,Sweden,2015-03-26,Individual
1993,Literature,1,6700000,9044276,not specified,670,Toni Morrison,female,1931-02-18,North America,USA,2019-08-05,Individual
1981,Physiology or Medicine,1/4,1000000,2929688,1981-10-09,424,Torsten N. Wiesel,male,1924-06-03,Europe,Sweden,not dead or organization,Individual
2008,Physics,1/4,10000000,10926573,2008-10-07,828,Toshihide Maskawa,male,1940-02-07,Asia,Japan,not dead or organization,Individual
1989,Economic Sciences,1,3000000,5242311,1989-10-11,703,Trygve Haavelmo,male,1911-12-13,Europe,Norway,1999-07-26,Individual
1957,Physics,1/2,208629,2697789,not specified,69,Tsung-Dao Lee,male,1926-11-24,Asia,China,not dead or organization,Individual
2015,Physiology or Medicine,1/2,8000000,8384572,not specified,918,Tu Youyou,female,1930-12-30,Asia,China,not dead or organization,Individual
1970,Physiology or Medicine,1/3,400000,3177966,1970-10-15,395,Ulf von Euler,male,1905-02-07,Europe,Sweden,1983-03-09,Individual
2001,Peace,1/2,10000000,12295082,2001-10-12,748,United Nations,organization,1945-00-00,North America,USA,not dead or organization,Organization
1965,Peace,1,282000,2782895,1965-10-26,525,United Nations Children's Fund,organization,1946-00-00,North America,USA,not dead or organization,Organization
1988,Peace,1,2500000,4645689,1988-09-29,550,United Nations Peacekeeping Forces,organization,1948-00-00,North America,USA,not dead or organization,Organization
2001,Literature,1,10000000,12295082,2001-10-11,747,V. S. Naipaul,male,1932-08-17,North America,Trinidad and Tobago,2018-08-11,Individual
1980,Physics,1/2,880000,2889667,1980-10-12,117,Val Fitch,male,1923-03-10,North America,USA,2015-02-05,Individual
2009,Chemistry,1/3,10000000,10958504,2009-10-07,841,Venkatraman Ramakrishnan,male,1952-00-00,Asia,India,not dead or organization,Individual
1916,Literature,1,131793,4845331,1916-11-09,585,Verner von Heidenstam,male,1859-07-06,Europe,Sweden,1940-05-20,Individual
2002,Economic Sciences,1/2,10000000,12034660,2002-10-09,760,Vernon L. Smith,male,1927-01-01,North America,USA,not dead or organization,Individual
1977,Literature,1,700000,3080986,not specified,653,Vicente Aleixandre,male,1898-04-26,Europe,Spain,1984-12-14,Individual
1936,Physics,1/2,159850,4913422,not specified,42,Victor F. Hess,male,1883-06-24,Europe,Austria,1964-12-17,Individual
1912,Chemistry,1/2,140476,6753654,not specified,172,Victor Grignard,male,1871-05-06,Europe,France,1935-12-13,Individual
1955,Chemistry,1,190214,2681588,1955-11-02,218,Vincent du Vigneaud,male,1901-05-18,North America,USA,1978-12-11,Individual
2003,Physics,1/3,10000000,11807305,2003-10-07,767,Vitaly L. Ginzburg,male,1916-10-04,Europe,Russia,2009-11-08,Individual
1975,Chemistry,1/2,630000,3404179,1975-10-17,248,Vladimir Prelog,male,1906-07-23,Europe,Austria-Hungary,1998-01-07,Individual
1980,Chemistry,1/4,880000,2889667,1980-10-14,255,Walter Gilbert,male,1932-03-21,North America,USA,not dead or organization,Individual
1956,Physics,1/3,200123,2699501,not specified,67,Walter H. Brattain,male,1902-02-10,Asia,China,1987-10-13,Individual
1949,Physiology or Medicine,1/2,156290,2930438,not specified,347,Walter Hess,male,1881-03-17,Europe,Switzerland,1973-08-12,Individual
1998,Chemistry,1/2,7600000,9713701,1998-10-13,290,Walter Kohn,male,1923-03-09,Europe,Austria,2016-04-19,Individual
1954,Physics,1/2,181647,2640218,not specified,62,Walther Bothe,male,1891-01-08,Europe,Germany,1957-02-08,Individual
1920,Chemistry,1,134100,2394643,not specified,178,Walther Nernst,male,1864-06-25,Europe,Prussia,1941-11-18,Individual
2004,Peace,1,10000000,11762861,2004-10-08,783,Wangari Maathai,female,1940-04-01,Africa,Kenya,2011-09-25,Individual
1973,Economic Sciences,1,510000,3331882,1973-10-18,683,Wassily Leontief,male,1906-08-05,Europe,Russia,1999-02-05,Individual
1946,Chemistry,1/4,121524,2503929,not specified,206,Wendell M. Stanley,male,1904-08-16,North America,USA,1971-06-15,Individual
1978,Physiology or Medicine,1/3,725000,2898454,not specified,414,Werner Arber,male,1929-06-03,Europe,Switzerland,not dead or organization,Individual
1956,Physiology or Medicine,1/3,200123,2699501,not specified,361,Werner Forssmann,male,1904-08-29,Europe,Germany,1979-06-01,Individual
1932,Physics,1,171753,5279293,not specified,38,Werner Heisenberg,male,1901-12-05,Europe,Germany,1976-02-01,Individual
1901,Physics,1,150782,8567159,not specified,1,Wilhelm Conrad Röntgen,male,1845-03-27,Europe,Prussia,1923-02-10,Individual
1909,Chemistry,1,139800,7084459,not specified,168,Wilhelm Ostwald,male,1853-09-02,Europe,Russian Empire,1932-04-04,Individual
1911,Physics,1,140695,7327865,not specified,16,Wilhelm Wien,male,1864-01-13,Europe,Prussia,1928-08-30,Individual
1960,Chemistry,1,225987,2664941,1960-11-03,224,Willard F. Libby,male,1908-12-17,North America,USA,1980-09-08,Individual
2009,Physics,1/4,10000000,10958504,2009-10-06,839,Willard S. Boyle,male,1924-08-19,North America,Canada,2011-05-07,Individual
1924,Physiology or Medicine,1,116719,3218355,not specified,315,Willem Einthoven,male,1860-05-21,Asia,"Java, Dutch East Indies",1927-09-29,Individual
1983,Physics,1/2,1500000,3715324,1983-10-19,123,William A. Fowler,male,1911-08-09,North America,USA,1995-03-14,Individual
1956,Physics,1/3,200123,2699501,not specified,65,William B. Shockley,male,1910-02-13,Europe,United Kingdom,1989-08-12,Individual
1915,Physics,1/2,149223,6217625,1915-11-12,20,William Bragg,male,1862-07-02,Europe,United Kingdom,1942-03-12,Individual
1923,Literature,1,114935,3169164,not specified,593,William Butler Yeats,male,1865-06-13,Europe,Ireland,1939-01-28,Individual
2015,Physiology or Medicine,1/4,8000000,8384572,not specified,916,William C. Campbell,male,1930-06-28,Europe,Ireland,not dead or organization,Individual
2018,Economic Sciences,1/2,9000000,9000000,not specified,968,William D. Nordhaus,male,1941-05-31,North America,USA,not dead or organization,Individual
1997,Physics,1/3,7500000,9572839,1997-10-15,154,William D. Phillips,male,1948-11-05,North America,USA,not dead or organization,Individual
2014,Chemistry,1/3,8000000,8379888,2014-10-08,911,William E. Moerner,male,1953-06-24,North America,USA,not dead or organization,Individual
1949,Chemistry,1,156290,2930438,not specified,209,William F. Giauque,male,1895-05-12,North America,Canada,1982-03-28,Individual
1990,Economic Sciences,1/3,4000000,6329114,1990-10-16,706,William F. Sharpe,male,1934-06-16,North America,USA,not dead or organization,Individual
1949,Literature,1,156290,2930438,not specified,620,William Faulkner,male,1897-09-25,North America,USA,1962-07-06,Individual
2019,Physiology or Medicine,1/3,9000000,9000000,2019-10-07,970,William G. Kaelin Jr,male,1957-11-23,North America,USA,not dead or organization,Individual
1983,Literature,1,1500000,3715324,not specified,660,William Golding,male,1911-09-19,Europe,United Kingdom,1993-06-19,Individual
1972,Chemistry,1/4,480000,3345725,not specified,243,William H. Stein,male,1911-06-25,North America,USA,1980-02-02,Individual
2001,Chemistry,1/4,10000000,12295082,2001-10-10,741,William Knowles,male,1917-06-01,North America,USA,2012-06-13,Individual
1976,Chemistry,1,681000,3342605,1976-10-18,249,William Lipscomb,male,1919-12-09,North America,USA,2011-04-14,Individual
1934,Physiology or Medicine,1/3,162608,5167627,not specified,328,William P. Murphy,male,1892-02-06,North America,USA,1987-10-09,Individual
1996,Economic Sciences,1/2,7400000,9490424,1996-10-08,716,William Vickrey,male,1914-06-21,North America,Canada,1996-10-11,Individual
1955,Physics,1/2,190214,2681588,1955-11-02,63,Willis E. Lamb,male,1913-07-12,North America,USA,2008-05-15,Individual
1971,Peace,1,450000,3321850,1971-10-21,529,Willy Brandt,male,1913-12-18,Europe,Germany,1992-10-08,Individual
1953,Literature,1,175293,2567769,not specified,624,Winston Churchill,male,1874-11-30,Europe,United Kingdom,1965-01-24,Individual
1996,Literature,1,7400000,9490424,not specified,673,Wislawa Szymborska,female,1923-07-02,Europe,Poland,2012-02-01,Individual
1924,Literature,1,116719,3218355,not specified,594,Wladyslaw Reymont,male,1867-05-07,Europe,Russian Empire,1925-12-05,Individual
1986,Literature,1,2000000,4098361,not specified,663,Wole Soyinka,male,1934-07-13,Africa,Nigeria,not dead or organization,Individual
2001,Physics,1/3,10000000,12295082,2001-10-09,739,Wolfgang Ketterle,male,1957-10-21,Europe,West Germany,not dead or organization,Individual
1989,Physics,1/4,3000000,5242311,1989-10-12,137,Wolfgang Paul,male,1913-08-10,Europe,Germany,1993-12-07,Individual
1945,Physics,1,121333,2499993,not specified,50,Wolfgang Pauli,male,1900-04-25,Europe,Austria,1958-12-15,Individual
1919,Peace,1,133127,2377268,1920-12-10,483,Woodrow Wilson,male,1856-12-28,North America,USA,1924-02-03,Individual
1994,Peace,1/3,7000000,9249471,1994-10-14,557,Yasser Arafat,male,1929-08-24,Africa,Egypt,2004-11-11,Individual
1968,Literature,1,350000,3052326,not specified,642,Yasunari Kawabata,male,1899-06-11,Asia,Japan,1972-04-16,Individual
1994,Peace,1/3,7000000,9249471,1994-10-14,559,Yitzhak Rabin,male,1922-03-01,Asia,British Mandate of Palestine,1995-11-04,Individual
2008,Physics,1/2,10000000,10926573,2008-10-07,826,Yoichiro Nambu,male,1921-01-18,Asia,Japan,2015-07-05,Individual
2016,Physiology or Medicine,1,8000000,8301051,not specified,927,Yoshinori Ohsumi,male,1945-02-09,Asia,Japan,not dead or organization,Individual
1986,Chemistry,1/3,2000000,4098361,1986-10-15,265,Yuan T. Lee,male,1936-11-19,Asia,Taiwan,not dead or organization,Individual
2005,Chemistry,1/3,10000000,11711430,2005-10-05,794,Yves Chauvin,male,1930-10-10,Europe,Belgium,2015-01-27,Individual
2000,Physics,1/4,9000000,11333109,2000-10-10,726,Zhores Alferov,male,1930-03-15,Europe,USSR,2019-03-01,Individual
1980,Chemistry,1/4,880000,2889667,1980-10-14,222,Frederick Sanger,male,1918-08-13,Europe,United Kingdom,2013-11-19,Individual
1944,Peace,1,121841,2510460,1945-11-12,482,International Committee of the Red Cross,organization,1863-00-00,Europe,Switzerland,not dead or organization,Organization
1972,Physics,1/3,480000,3345725,not specified,66,John Bardeen,male,1908-05-23,North America,USA,1991-01-30,Individual
1954,Chemistry,1,181647,2640218,not specified,217,Linus Pauling,male,1901-02-28,North America,USA,1994-08-19,Individual
1911,Chemistry,1,140695,7327865,not specified,6,Marie Curie,female,1867-11-07,Europe,Russian Empire,1934-07-04,Individual
1981,Peace,1,1000000,2929688,1981-10-14,515,Office of the United Nations High Commissioner for Refugees,organization,1951-00-00,Europe,Switzerland,not dead or organization,Organization
1963,Peace,1/2,265000,2839286,1963-10-10,482,International Committee of the Red Cross,organization,1863-00-00,Europe,Switzerland,not dead or organization,Organization
2020,Physiology or Medicine,1/3,not specified,not specified,2020-10-05,not specified,Michael Houghton,male,1949-00-00,Europe,United Kingdom,not dead or organization,Individual
2020,Physiology or Medicine,1/3,not specified,not specified,2020-10-05,not specified,Harvey J. Alter,male,1935-09-12,North America,USA,not dead or organization,Individual
2020,Physiology or Medicine,1/3,not specified,not specified,2020-10-05,not specified,Charls M. Rice,male,1952-08-25,North America,USA,not dead or organization,Individual
2020,Physics,1/2,not specified,not specified,2020-10-06,not specified,Roger Penrose,male,1931-08-08,Europe,United Kingdom,not dead or organization,Individual
2020,Physics,1/4,not specified,not specified,2020-10-06,not specified,Reinhard Genzel,male,1952-03-24,Europe,Germany,not dead or organization,Individual
2020,Physics,1/4,not specified,not specified,2020-10-06,not specified,Andrea M. Ghez,female,1965-06-16,Europe,USA,not dead or organization,Individual
2020,Chemistry,1/2,not specified,not specified,2020-10-07,not specified,Jennifer Doudna,female,1964-02-19,North America,USA,not dead or organization,Individual
2020,Chemistry,1/2,not specified,not specified,2020-10-07,not specified,Emmanuelle Charpentier,female,1968-12-11,Europe,France,not dead or organization,Individual
2020,Literature,1,not specified,not specified,2020-10-08,not specified,Louise Glück,female,1943-04-22,North America,USA,not dead or organization,Individual
2020,Peace,1,not specified,not specified,2020-10-09,not specified,World Food Programme,organization,1961-12-19,North America,USA,not dead or organization,Organization
