award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
1999,Physics,1/2,7900000,10049186,1999-10-12,159,Martinus J.G. Veltman,male,1931-06-27,Europe,the Netherlands,not dead or organization,Individual
2008,Peace,1,10000000,10926573,2008-10-10,833,Martti Ahtisaari,male,1937-06-23,Europe,Finland,not dead or organization,Individual
2002,Physics,1/4,10000000,12034660,2002-10-08,754,Masatoshi Koshiba,male,1926-09-19,Asia,Japan,not dead or organization,Individual
1988,Economic Sciences,1,2500000,4645689,1988-10-18,702,Maurice Allais,male,1911-05-31,Europe,France,2010-10-09,Individual
1911,Literature,1,140695,7327865,not specified,581,Maurice Maeterlinck,male,1862-08-29,Europe,Belgium,1949-05-06,Individual
1962,Physiology or Medicine,1/3,257220,2836985,not specified,374,Maurice Wilkins,male,1916-12-15,Oceania,New Zealand,2004-10-05,Individual
1954,Physics,1/2,181647,2640218,not specified,61,Max Born,male,1882-12-11,Europe,Germany,1970-01-05,Individual
1969,Physiology or Medicine,1/3,375000,3181561,not specified,391,Max Delbrück,male,1906-09-04,Europe,Germany,1981-03-09,Individual
1962,Chemistry,1/2,257220,2836985,not specified,226,Max F. Perutz,male,1914-05-19,Europe,Austria,2002-02-06,Individual
1918,Physics,1,138198,2847486,not specified,23,Max Planck,male,1858-04-23,Europe,Schleswig,1947-10-04,Individual
1951,Physiology or Medicine,1,167612,2686090,not specified,352,Max Theiler,male,1899-01-30,Africa,South Africa,1972-08-11,Individual
1914,Physics,1,146900,7062500,1915-11-11,19,Max von Laue,male,1879-10-09,Europe,Germany,1960-04-23,Individual
2014,Physiology or Medicine,1/4,8000000,8379888,not specified,904,May-Britt Moser,female,1963-01-04,Europe,Norway,not dead or organization,Individual
1999,Peace,1,7900000,10049186,1999-10-15,568,Médecins Sans Frontières,organization,1971-00-00,Europe,France,not dead or organization,Organization
1961,Chemistry,1,250233,2878447,not specified,225,Melvin Calvin,male,1911-04-08,North America,USA,1997-01-08,Individual
1988,Physics,1/3,2500000,4645689,1988-10-19,133,Melvin Schwartz,male,1932-11-02,North America,USA,2006-08-28,Individual
1978,Peace,1/2,725000,2898454,1978-10-27,539,Menachem Begin,male,1913-08-16,Europe,Russian Empire,1992-03-09,Individual
1990,Economic Sciences,1/3,4000000,6329114,1990-10-16,705,Merton H. Miller,male,1923-05-16,North America,USA,2000-06-03,Individual
2019,Economic Sciences,1/3,9000000,9000000,2019-10-14,984,Michael Kremer,male,1964-11-12,North America,USA,not dead or organization,Individual
